event_ID,site,video_date,Visit_Date,Visit_Date,time,number_individuals,individual,individual_ID,trial_day,event_number,activation_number,sound_stimuli,period,proportion_vis,
RDT1_06Feb_18_2,RDT1,2021-02-06,06Feb,06-02-24,18:09,3,92,,3,46,17,Silent,before,0,
RDT1_06Feb_18_2,RDT1,2021-02-06,06Feb,06-02-24,18:09,3,93,,3,46,17,Silent,before,0,
RDT1_06Feb_18_3,RDT1,2021-02-06,06Feb,06-02-24,18:44,1,94,,3,47,8,Novel,before,0,
RDT1_06Feb_19_1,RDT1,2021-02-06,06Feb,06-02-24,19:00,2,95,,3,48,5,Roedeer,before,NA,
RDT1_06Feb_19_1,RDT1,2021-02-06,06Feb,06-02-24,19:00,2,96,,3,48,5,Roedeer,before,0,
RDT1_06Feb_19_1,RDT1,2021-02-06,06Feb,06-02-24,19:00,1,97,,3,48,5,Roedeer,before,0.1,
RDT1_06Feb_21_1,RDT1,2021-02-06,06Feb,06-02-24,21:16,1,98,,3,49,18,Silent,before,0,
RDT1_06Feb_21_2,RDT1,2021-02-06,06Feb,06-02-24,21:35,2,99,,3,50,19,Silent,before,0,
RDT1_06Feb_21_2,RDT1,2021-02-06,06Feb,06-02-24,21:35,2,100,,3,50,19,Silent,before,NA,
RDT1_06Feb_21_3,RDT1,2021-02-06,06Feb,06-02-24,21:43,2,101,,3,51,6,Roedeer,before,0.15,
RDT1_06Feb_21_3,RDT1,2021-02-06,06Feb,06-02-24,21:43,2,102,,3,51,6,Roedeer,before,0,
RDT1_06Feb_22_1,RDT1,2021-02-06,06Feb,06-02-24,22:33,1,103,,3,52,8,Dog,before,0,
RDT1_06Feb_22_2,RDT1,2021-02-06,06Feb,06-02-24,22:50,1,104,,3,53,20,Silent,before,0.461538462,
RDT1_06Feb_23_1,RDT1,2021-02-06,06Feb,06-02-24,23:13,1,105,,3,54,21,Silent,before,0,
RDT1_06Feb_23_2,RDT1,2021-02-06,06Feb,06-02-24,23:19,3,106,,3,55,9,Dog,before,0,
RDT1_06Feb_23_2,RDT1,2021-02-06,06Feb,06-02-24,23:19,3,107,,3,55,9,Dog,before,0,
RDT1_06Feb_23_2,RDT1,2021-02-06,06Feb,06-02-24,23:19,3,108,,3,55,9,Dog,before,0,
RDT1_06Feb_23_3,RDT1,2021-02-06,06Feb,06-02-24,23:29,2,109,,3,56,22,Silent,before,0,
RDT1_06Feb_23_3,RDT1,2021-02-06,06Feb,06-02-24,23:29,2,110,,3,56,22,Silent,before,0.65,
RDT1_06Feb_23_4,RDT1,2021-02-06,06Feb,06-02-24,23:40,2,111,,3,57,9,Human,before,0,
RDT1_06Feb_23_4,RDT1,2021-02-06,06Feb,06-02-24,23:40,2,112,,3,57,9,Human,before,0.9,
RDT1_07Feb_0_1,RDT1,2021-02-07,07Feb,07-02-24,00:16,1,113,,4,58,7,Roedeer,before,0,
RDT1_07Feb_0_2,RDT1,2021-02-07,07Feb,07-02-24,00:27,1,114,,4,59,23,Silent,before,0.25,
RDT1_07Feb_1_1,RDT1,2021-02-07,07Feb,07-02-24,01:20,1,115,,4,60,10,Human,before,0,
RDT1_07Feb_2_1,RDT1,2021-02-07,07Feb,07-02-24,02:05,1,116,,4,61,10,Dog,before,0,
RDT1_07Feb_4_1,RDT1,2021-02-07,07Feb,07-02-24,04:04,1,117,,4,62,8,Roedeer,before,0,
RDT1_07Feb_16_1,RDT1,2021-02-07,07Feb,07-02-24,16:04,1,118,,4,63,11,Human,before,0,
RDT1_07Feb_16_2,RDT1,2021-02-07,07Feb,07-02-24,16:43,1,119,,4,64,24,Silent,before,0,
RDT1_07Feb_17_1,RDT1,2021-02-07,07Feb,07-02-24,17:02,1,120,,4,65,11,Dog,before,0,
RDT1_07Feb_17_2,RDT1,2021-02-07,07Feb,07-02-24,17:11,1,121,,4,66,25,Silent,before,0,
RDT1_07Feb_17_3,RDT1,2021-02-07,07Feb,07-02-24,17:50,1,122,,4,67,12,Human,before,0.25,
RDT1_07Feb_18_1,RDT1,2021-02-07,07Feb,07-02-24,18:03,3,123,,4,68,4,Bird,before,NA,
RDT1_07Feb_18_1,RDT1,2021-02-07,07Feb,07-02-24,18:03,3,124,,4,68,4,Bird,before,0,
RDT1_07Feb_18_1,RDT1,2021-02-07,07Feb,07-02-24,18:03,3,125,,4,68,4,Bird,before,0,
RDT1_07Feb_19_1,RDT1,2021-02-07,07Feb,07-02-24,19:05,1,126,,4,69,9,Roedeer,before,0,
RDT1_07Feb_23_1,RDT1,2021-02-07,07Feb,07-02-24,23:57,1,127,,4,70,26,Silent,before,0.05,
RDT1_08Feb_0_1,RDT1,2021-02-08,08Feb,08-02-24,00:09,1,128,,5,71,10,Roedeer,before,0.25,
RDT1_08Feb_6_1,RDT1,2021-02-08,08Feb,08-02-24,06:34,1,129,,5,72,13,Human,before,NA,
RDT1_08Feb_22_1,RDT1,2021-02-08,08Feb,08-02-24,22:37,1,130,,5,73,27,Silent,before,0,
RDT1_08Feb_22_3,RDT1,2021-02-08,08Feb,08-02-24,22:47,1,131,,5,74,9,Novel,before,0.8,
RDT1_08Feb_23_1,RDT1,2021-02-08,08Feb,08-02-24,23:11,2,132,,5,75,5,Bird,before,0,
RDT1_08Feb_23_1,RDT1,2021-02-08,08Feb,08-02-24,23:11,2,133,,5,75,5,Bird,before,0,
RDT1_08Feb_23_2,RDT1,2021-02-08,08Feb,08-02-24,23:49,3,134,,5,76,12,Dog,before,0,
RDT1_08Feb_23_2,RDT1,2021-02-08,08Feb,08-02-24,23:49,3,135,,5,76,12,Dog,before,0,
RDT1_08Feb_23_2,RDT1,2021-02-08,08Feb,08-02-24,23:49,3,136,,5,76,12,Dog,before,0,
RDT1_09Feb_2_1,RDT1,2021-02-09,09Feb,09-02-24,02:30,1,137,,6,77,10,Novel,before,0.15,
RDT1_09Feb_2_2,RDT1,2021-02-09,09Feb,09-02-24,02:43,1,138,,6,78,28,Silent,before,0,
RDT1_09Feb_16_1,RDT1,2021-02-09,09Feb,09-02-24,16:04,2,139,,6,79,14,Human,before,0,
RDT1_09Feb_16_1,RDT1,2021-02-09,09Feb,09-02-24,16:04,2,140,,6,79,14,Human,before,0,
RDT1_09Feb_16_2,RDT1,2021-02-09,09Feb,09-02-24,16:59,5,141,,6,80,29,Silent,before,0,
RDT1_09Feb_16_2,RDT1,2021-02-09,09Feb,09-02-24,16:59,5,142,,6,80,29,Silent,before,NA,
RDT1_09Feb_16_2,RDT1,2021-02-09,09Feb,09-02-24,16:59,5,143,,6,80,29,Silent,before,NA,
RDT1_09Feb_16_2,RDT1,2021-02-09,09Feb,09-02-24,16:59,5,144,,6,80,29,Silent,before,0,
RDT1_09Feb_16_2,RDT1,2021-02-09,09Feb,09-02-24,16:59,5,145,,6,80,29,Silent,before,0.625,
RDT1_09Feb_17_1,RDT1,2021-02-09,09Feb,09-02-24,17:08,5,146,,6,81,13,Dog,before,0.55,
RDT1_09Feb_17_1,RDT1,2021-02-09,09Feb,09-02-24,17:08,5,147,,6,81,13,Dog,before,0.55,
RDT1_09Feb_17_1,RDT1,2021-02-09,09Feb,09-02-24,17:08,5,148,,6,81,13,Dog,before,0,
RDT1_09Feb_17_1,RDT1,2021-02-09,09Feb,09-02-24,17:08,5,149,,6,81,13,Dog,before,0.05,
RDT1_09Feb_17_1,RDT1,2021-02-09,09Feb,09-02-24,17:08,5,150,,6,81,13,Dog,before,0,
RDT1_09Feb_17_2,RDT1,2021-02-09,09Feb,09-02-24,17:16,3,151,,6,82,30,Silent,before,0,
RDT1_09Feb_17_2,RDT1,2021-02-09,09Feb,09-02-24,17:16,3,152,,6,82,30,Silent,before,0.153846154,
RDT1_09Feb_17_2,RDT1,2021-02-09,09Feb,09-02-24,17:16,3,153,,6,82,30,Silent,before,0.25,
RDT1_09Feb_17_3,RDT1,2021-02-09,09Feb,09-02-24,17:53,1,154,,6,83,11,Roedeer,before,0,
RDT1_09Feb_18_1,RDT1,2021-02-09,09Feb,09-02-24,18:29,2,155,,6,84,6,Bird,before,0,
RDT1_09Feb_18_1,RDT1,2021-02-09,09Feb,09-02-24,18:29,2,156,,6,84,6,Bird,before,0,
RDT1_09Feb_18_2,RDT1,2021-02-09,09Feb,09-02-24,18:36,2,157,,6,85,31,Silent,before,0,
RDT1_09Feb_18_2,RDT1,2021-02-09,09Feb,09-02-24,18:36,2,158,,6,85,31,Silent,before,0.3,
RDT1_09Feb_19_1,RDT1,2021-02-09,09Feb,09-02-24,19:09,1,159,,6,86,12,Roedeer,before,0,
RDT1_09Feb_19_2,RDT1,2021-02-09,09Feb,09-02-24,19:18,1,160,,6,87,32,Silent,before,0.1,
RDT1_09Feb_20_1,RDT1,2021-02-09,09Feb,09-02-24,20:21,2,161,,6,88,11,Novel,before,0.315789474,
RDT1_09Feb_20_1,RDT1,2021-02-09,09Feb,09-02-24,20:21,2,162,,6,88,11,Novel,before,0,
RDT1_09Feb_21_1,RDT1,2021-02-09,09Feb,09-02-24,21:00,1,163,,6,89,15,Human,before,0,
RDT1_09Feb_21_2,RDT1,2021-02-09,09Feb,09-02-24,21:06,1,164,,6,90,33,Silent,before,0.4,
RDT1_09Feb_22_1,RDT1,2021-02-09,09Feb,09-02-24,22:03,2,165,,6,91,14,Dog,before,0,
RDT1_09Feb_22_1,RDT1,2021-02-09,09Feb,09-02-24,22:03,2,166,,6,91,14,Dog,before,0,
RDT1_09Feb_22_2,RDT1,2021-02-09,09Feb,09-02-24,22:17,3,167,,6,92,34,Silent,before,0,
